Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid,Gold_Spread,Sov_Old_Spread,Sov_New_Upto1973_Spread,Sov_New_Post1974_Spread
2009-02-09,22.22,24.16,167.52,187.07,167.52,187.07,167.52,187.07,-1.94,-19.55,-19.55,-19.55
2009-02-10,21.93,23.84,164.98,184.43,164.98,184.43,164.98,184.43,-1.91,-19.45,-19.45,-19.45
2009-02-11,22.54,24.5,170.32,190,170.32,190,170.32,190,-1.96,-19.68,-19.68,-19.68
2009-02-12,23.04,25.04,173.56,193.85,173.56,193.85,173.56,193.85,-2,-20.29,-20.29,-20.29
2009-02-16,23.39,25.42,176.09,196.24,176.09,196.24,176.09,196.24,-2.03,-20.15,-20.15,-20.15
2009-02-17,23.99,26.08,180.62,201.92,180.62,201.92,180.62,201.92,-2.09,-21.3,-21.3,-21.3
2009-02-18,24.38,26.5,183.58,205.07,183.58,205.07,183.58,205.07,-2.12,-21.49,-21.49,-21.49
2009-02-23,23.99,26.64,180.35,205.7,180.35,205.7,180.35,205.7,-2.65,-25.35,-25.35,-25.35
2009-02-24,24.29,26.97,182.76,208.43,182.76,208.43,182.76,208.43,-2.68,-25.67,-25.67,-25.67
2009-02-25,23.44,26.04,176.54,202.07,176.54,202.07,176.54,202.07,-2.6,-25.53,-25.53,-25.53
2009-02-26,23.16,25.72,174.53,199.27,174.53,199.27,174.53,199.27,-2.56,-24.74,-24.74,-24.74
2009-03-03,22.74,25.49,169.12,197.28,169.12,197.28,169.12,197.28,-2.75,-28.16,-28.16,-28.16
2009-03-05,22.49,25.22,167.56,194.95,167.56,194.95,167.56,194.95,-2.73,-27.39,-27.39,-27.39
2009-03-06,23.06,25.85,171.71,200.08,171.71,200.08,171.71,200.08,-2.79,-28.37,-28.37,-28.37
2009-03-10,22.36,25.09,166.86,194.03,166.86,194.03,166.86,194.03,-2.73,-27.17,-27.17,-27.17
2009-03-11,21.98,24.64,163.4,190.54,163.4,190.54,163.4,190.54,-2.66,-27.14,-27.14,-27.14
